company,ticker,name,last_name,first_name,title,cash,equity,other,total,change,age,gender,mug
Alaska Air Group,ALK,Brad Tilden,Tilden,Brad,President & CEO,1237900,1619594,62038,2919532,n/a,53,M,Tilden_Bradley.jpg
Amazon.com,AMZN,Jeff Bezos,Bezos,Jeff,"Chairman, President & CEO",81840,0,1600000,1681840,0,50,M,Bezos_Jeff.jpg
Ambassadors Group,EPAX,Anthony Dombrowik,Dombrowik,Anthony,President & Interim CEO,290769,197173,0,487942,n/a,43,M,
Anchor Bancorp,ANCB,Jerald Shaw,Shaw,Jerald,President & CEO,260000,0,63725,323725,0.009659169,67,M,Shaw_Jerald.jpg
Atossa Genetics,ATOS,Steven Quay,Quay,Steven,"Chairman, President & CEO",311100,119421,0,430521,0.660640309,63,M,Quay_Steven.jpg
Avista,AVA,Scott Morris,Morris,Scott,"Chairman, President & CEO",1537355,1305334,53255,2895944,0.146810866,56,M,Morris_Scott.jpg
Banner,BANR,Mark Grescovich,Grescovich,Mark,President & CEO,1075131,812924,26297,1914352,0.509297344,49,M,Grescovich_Mark.jpg
Barrett Business Services,BBSI,Michael Elich,Elich,Michael,President & CEO,998325,1005600,11985,2015910,1.032525899,49,M,Elich_Michael.jpg
Blount International,BLT,Joshua Collins,Collins,Joshua,Chairman & CEO,902870,847537,64689,1815096,0.304644649,49,M,
Blucora,BCOR,William Ruckelshaus,Ruckelshaus,William,President & CEO,900450,1917410,10515,2828375,0.300668413,49,M,
Blue Nile,NILE,Harvey Kanter,Kanter,Harvey,"Chairman, President & CEO",808265,782142,64409,1654816,n/a,52,M,Kanter_Harvey.jpg
Boise Cascade,BCC,Thomas Carlile,Carlile,Thomas,CEO,2401000,830567,153564,3385131,0.18373682,62,M,Carlile_Thomas.jpg
Bsquare,BSQR,Jerry Chase,Chase,Jerry,President & Interim CEO,65506,83500,0,149006,n/a,53,M,Chase_Jerry.jpg
Cascade Bancorp,CACB,Terry Zink,Zink,Terry,President & CEO,1045000,329998,7562,1382560,-0.003032956,62,M,Zink_Terry.jpg
Cascade Microtech,CSCD,Michael Burger,Burger,Michael,President & CEO,611971,506080,8876,1126927,0.296480753,55,M,Burger_Michael.jpg
Cell Therapeutics,CTIC,James Bianco,Bianco,James,President & CEO,1332500,1928841,351034,3612375,0.283927058,57,M,Bianco_James.jpg
ClearSign Combustion,CLIR,Richard Rutkowski,Rutkowski,Richard,"Chairman, President & CEO",464742,85289,33632,583663,-0.068589183,58,M,Rutkowski_Rick.jpg
